id,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,subject
1,What is React.js?,A server-side programming language,FALSE,A style sheet language,FALSE,A JavaScript library for building user interfaces,TRUE,A database query language,FALSE,react
2,What are the key features of React.js?,Virtual DOM and server-side rendering,TRUE,Type checking and PropTypes,FALSE,Templates and data binding,FALSE,Strict file structure,FALSE,react
3,What is JSX?,JavaScript extension for short XML,FALSE,JavaScript Syntax eXtension,TRUE,Java Secure Execution,FALSE,JavaScript Serialized XML,FALSE,react
4,What is the significance of the virtual DOM in React.js?,Increases direct manipulation of the DOM,FALSE,Enables the use of virtual reality,FALSE,Allows a declarative UI,FALSE,Improves performance by minimizing direct DOM manipulation,TRUE,react
5,What is the difference between a functional component and a class component in React.js?,Functional components cannot use hooks,FALSE,Class components are stateless,FALSE,Functional components are stateless and class components are stateful,TRUE,There is no difference,FALSE,react
6,What is the purpose of the constructor in a React component?,To compute derived state,FALSE,To initialize state and bind event handler methods,TRUE,To handle CSS styling,FALSE,To register the component with the DOM,FALSE,react
7,What is state in React.js?,A permanent storage like a database,FALSE,A read-only component configuration,FALSE,An internal data store (object) of a component,TRUE,External data passed into the component,FALSE,react
8,What is the difference between state and props in React.js?,State is immutable while props are mutable,FALSE,"State is internal and controlled by the component itself, props are external and controlled by whatever renders the component",TRUE,"Props can be used to store data, state cannot",FALSE,"There is no difference, both are used for the same purpose",FALSE,react
9,What is a controlled component?,A component that controls the behavior of other components,FALSE,A component that does not allow user input,FALSE,A component that requires manual handling of DOM updates,FALSE,A component with form elements where the data is controlled by the state of the component,TRUE,react
10,What are React lifecycle methods?,Methods that allow you to run code at specific points in a component's life,TRUE,HTTP methods that a React component can call,FALSE,Functions that must be called before a component is used,FALSE,A sequence of methods to manage component state changes,FALSE,react
11,What is the significance of the render() method in React.js?,It is used to update the state of the component,FALSE,It sends a request to the server,FALSE,It is used to create a virtual DOM node,FALSE,It is required for each component to describe what should be rendered on the screen,TRUE,react
12,What is the purpose of keys in React lists?,To unlock special list features,FALSE,"To help React identify which items have changed, are added, or are removed",TRUE,To set a unique style for each item,FALSE,To improve the search speed within lists,FALSE,react
13,What is context in React.js?,It is a state management tool,FALSE,It is a way to pass data through the component tree without having to pass props down manually at every level,TRUE,It provides the current time and date,FALSE,It is a method to handle errors in the application,FALSE,react
14,What are higher-order components (HOCs) in React.js?,They are components that render other components,TRUE,They are the main components that hold the state of the application,FALSE,They are components that only render HTML,FALSE,They are the components with the highest z-index,FALSE,react
15,What are React hooks?,Functions to hook into React state and lifecycle features from function components,TRUE,A type of JavaScript function,FALSE,HTML elements that React components can hook onto,FALSE,Libraries used to connect React to other frameworks,FALSE,react
16,What are the basic rules of hooks?,Hooks can be used in class components,FALSE,"Hooks should only be called at the top level and not inside loops, conditions, or nested functions",TRUE,Hooks must be written before the component is defined,FALSE,There are no rules for using hooks,FALSE,react
17,What is the useState hook used for?,To update the title of the document,FALSE,To fetch data from an API,FALSE,To add state to a function component,TRUE,To create a callback function,FALSE,react
18,What is the useEffect hook used for?,To handle user input,FALSE,To integrate with third-party libraries,FALSE,To perform side effects in function components,TRUE,To replace all lifecycle methods in class components,FALSE,react
19,What is the difference between useCallback and useMemo hooks?,"useCallback returns a memoized callback, useMemo returns a memoized value",TRUE,"useCallback is used for state management, useMemo is used for rendering",FALSE,"There is no difference, they are interchangeable",FALSE,"useCallback is used to create new components, useMemo is used to cache components",FALSE,react
20,What is React Router?,A tool for navigating between different documents in the browser,FALSE,A core part of the React library for state management,FALSE,A server-side framework for React applications,FALSE,"A library for routing in React applications, allowing you to handle navigation declaratively",TRUE,react
21,What is Redux?,A real-time database,FALSE,A frontend framework like Angular,FALSE,A JavaScript library for managing application state,TRUE,A command-line interface for React,FALSE,react
22,What is the purpose of actions in Redux?,To describe state changes in the application,TRUE,To handle asynchronous code,FALSE,To directly mutate the application's state,FALSE,To combine different reducers into one,FALSE,react
23,What are reducers in Redux?,Functions that reduce the size of the action payloads,FALSE,Components that listen for actions,FALSE,Functions that take the current state and an action to compute a new state,TRUE,Middleware used to log actions,FALSE,react
24,What is the connect function in Redux?,It connects the Redux store to the React router,FALSE,It is a hook that connects a React component to the Redux store,FALSE,It connects different reducers into one,FALSE,It connects a React component to the Redux store,TRUE,react
25,What is the purpose of middleware in Redux?,To interrupt the action dispatch process,FALSE,To provide a third-party extension point between dispatching an action and the moment it reaches the reducer,TRUE,To replace the store in Redux,FALSE,To manage the state of the application,FALSE,react
26,What is Redux Thunk?,A type of action in Redux,FALSE,A library for making the Redux store immutable,FALSE,A middleware that allows you to write action creators that return a function instead of an action,TRUE,A tool for synchronizing Redux state across multiple stores,FALSE,react
27,What is React Native?,A native version of the React library optimized for performance,FALSE,A framework for building native apps using JavaScript and React,TRUE,A compiler that converts React code to native mobile code,FALSE,A plugin for React that adds additional native components,FALSE,react
28,What is the difference between React and React Native?,"React is for building interfaces, while React Native is for building APIs",FALSE,"React is for web development, while React Native is for building mobile apps",TRUE,"React Native uses a virtual DOM, while React does not",FALSE,"There is no difference, they are the same thing",FALSE,react
29,What are React Native components?,The building blocks of a React web application,FALSE,Native components that are compiled into native iOS and Android components,TRUE,HTML elements that React Native uses to build the UI,FALSE,Server-side components that render the mobile app UI,FALSE,react
30,What is the purpose of StyleSheet in React Native?,To enhance JavaScript execution speed,FALSE,To compile styles into native code,FALSE,To provide a CSS-like styling abstraction,TRUE,To connect to external style sources like APIs,FALSE,react
31,What is the difference between state and props in React Native?,State is mutable while props are immutable,TRUE,"Props are used to store information, while state cannot store information",FALSE,"There is no difference, both are used interchangeably",FALSE,"State cannot be passed to child components, but props can",FALSE,react
32,What is the purpose of AsyncStorage in React Native?,To manage app state in memory,FALSE,To store global variables,FALSE,To keep data in key-value pairs over app restarts,TRUE,To synchronize data with a remote database,FALSE,react
33,What is the purpose of the Expo framework in React Native?,To expedite the native build process using a cloud service,TRUE,To add extra security layers to the app,FALSE,To provide additional native APIs for React Native,FALSE,To compress the app size,FALSE,react
34,What is the purpose of the shouldComponentUpdate() method?,To prevent the component from updating,FALSE,To update the component every time the state changes,FALSE,To allow the component to update only when certain conditions are met,TRUE,To force the component to update,FALSE,react
35,What is the React DevTools?,A set of tools for backend development in React,FALSE,A collection of utilities to help with React application deployment,FALSE,An extension for Chrome and Firefox that provides a development environment for React applications,TRUE,A toolkit for converting React code to native mobile code,FALSE,react
36,What is the purpose of the key prop in React?,To unlock special component features,FALSE,To enhance the performance of list rendering,FALSE,To trigger component re-rendering,FALSE,"To help React identify which items have changed, are added, or are removed in lists",TRUE,react
37,What are the different ways to style components in React?,"Inline styles, CSS stylesheets, and styled-components",TRUE,Only inline styles are allowed in React,FALSE,Using external libraries like Bootstrap only,FALSE,Using styles attribute in HTML tags only,FALSE,react
38,What is the purpose of React Fragments?,To debug React applications,FALSE,To enhance performance by reducing the number of nodes in the DOM,FALSE,To group a list of children without adding extra nodes to the DOM,TRUE,To wrap components in a security layer,FALSE,react
39,What are controlled components in React forms?,Components that cannot be modified by the user,FALSE,"Components where form data is handled by the DOM, not React",FALSE,Components that do not allow user input,FALSE,Components where form data is controlled by the state within the React component,TRUE,react
40,What is the purpose of the children prop in React?,To set the child elements of a component from an external source,FALSE,To define the data type of child elements,FALSE,To pass and render child elements included between the opening and closing tags of a component,TRUE,To identify the child components that require updates,FALSE,react
